"","logFC","logCPM","LR","PValue","FDR","change"
"ZYG11A",-0.225424467716905,5.10418619479034,2.61539483188886,0.105831180695368,0.402476623479462,"NOT"
"UCHL3",-0.665929626181835,0.716918873252063,2.6152727417072,0.10583932613872,0.402476623479462,"NOT"
"MAP10",-0.987941356387651,-0.0538981959619844,2.61455937915637,0.105886933015788,0.402528137301098,"NOT"
"CATSPERG",1.36940081714475,-0.387371957681825,2.61447202137581,0.105892764527602,0.402528137301098,"NOT"
"ANKS3",-0.21983303380135,4.69420349181059,2.61366048717377,0.105946954799503,0.402601568837779,"NOT"
"LRRC46",0.495501762248202,1.54388786683958,2.61358523702935,0.105951981175236,0.402601568837779,"NOT"
"ZNF485",-0.336394451962602,3.38684504718112,2.61270521508636,0.106010782149996,0.402725242584211,"NOT"
"SMIM12",-0.127519774061365,6.50019297770419,2.61250089403872,0.106024439514886,0.402725242584211,"NOT"
"SCN1B",1.45451992569774,-0.557144418597379,2.61039167040776,0.106165538482165,0.403185309015539,"NOT"
"IKBKE",-0.475375681809919,2.53163105168979,2.60835046434602,0.106302283435569,0.403628670181225,"NOT"
"RAD51B",-0.426907817349331,2.27717978585368,2.6070961688158,0.106386407312179,0.403872100445276,"NOT"
"MED28",0.124550084153114,7.31914499499579,2.60466907457118,0.106549396621254,0.404414777734349,"NOT"
"DPY19L4",0.275744076664555,4.41069786139344,2.6031691241729,0.106650261366121,0.40461765711951,"NOT"
"UPF2",0.138036251944631,5.99964803285991,2.60308498680375,0.106655922317868,0.40461765711951,"NOT"
"AP000311.1",0.428560362969634,2.60611795374032,2.60279503098633,0.106675433724157,0.40461765711951,"NOT"
"ZNF652",0.333807528991406,3.43437845147577,2.60268192035273,0.106683046109356,0.40461765711951,"NOT"
"ZKSCAN4",0.365570665527563,3.19247364365547,2.60041178485302,0.106835953103282,0.405121452382063,"NOT"
"HECA",-0.32503253407082,3.48842833439169,2.5986606228006,0.106954068465063,0.405493153427286,"NOT"
"C14orf2",-0.127391943430872,6.57272866637693,2.59692932132736,0.107070985110937,0.405847838313565,"NOT"
"ARPC1B",0.50854607498372,1.4426877790038,2.59642526832989,0.107105050705212,0.405847838313565,"NOT"
"NAALADL2",1.57974594430623,-0.749701123424971,2.59638234179811,0.107107952373919,0.405847838313565,"NOT"
"CSRNP1",-0.181708857198884,5.13604196867987,2.59554407842885,0.107164633053169,0.40598638251286,"NOT"
"ZBTB21",-0.202072200442747,4.72758441221712,2.59502118311987,0.107200006226436,0.406044167728174,"NOT"
"NT5DC2",0.10757671534019,8.13005501781921,2.59356699409533,0.107298447572369,0.40628420080265,"NOT"
"C9orf78",-0.114937468405275,7.71532686983393,2.59349030850274,0.107303641557808,0.40628420080265,"NOT"
"MUT",0.174777177462047,5.1629318578954,2.59284342290775,0.107347466695392,0.406373893337031,"NOT"
"OPN3",0.447858975848103,2.42855526548672,2.58973075387432,0.10755861835579,0.407076713115207,"NOT"
"EEF1AKMT1",-0.414212835263715,2.38211067817763,2.5893395030224,0.107585191567748,0.407076713115207,"NOT"
"PTOV1",0.123378921869309,7.50675874811416,2.58921517925696,0.107593636973218,0.407076713115207,"NOT"
"TMSB15A",1.08397253482343,-0.18802238642428,2.58841747810687,0.107647842721961,0.407205457164367,"NOT"
"ERO1A",-0.175591498035592,5.3172810211798,2.58758178535321,0.107704662250328,0.407344038394654,"NOT"
"RFT1",0.28313858367232,3.82598914509518,2.58667757529916,0.107766177421173,0.407500323503223,"NOT"
"CDRT15",2.25949012055565,-1.23510854249212,2.58623693256295,0.107796169182683,0.407537371726437,"NOT"
"RNF111",-0.187642599934163,5.02403503711739,2.5851320865524,0.107871409359224,0.407745441520602,"NOT"
"SLC26A4",-1.59130679547324,-0.819731423614781,2.5835861825158,0.107976782453387,0.408067312114569,"NOT"
"MTIF3",0.20597249969011,4.62294609322184,2.57886297196857,0.108299430399585,0.40920501456556,"NOT"
"TRMT12",-0.177604528525665,5.02104303060043,2.57832629302322,0.108336158492567,0.40920501456556,"NOT"
"E2F8",0.178570522059933,5.37481128291871,2.57828982346376,0.108338654815112,0.40920501456556,"NOT"
"TMEM237",0.316973462188836,3.83335101413434,2.57776497874602,0.10837458716314,0.409264136141341,"NOT"
"PTGR2",-0.433536348033575,2.24274731554279,2.57628154437451,0.108476218061617,0.409571292179886,"NOT"
"WDR3",-0.126792956277876,7.16510542465289,2.57306397217852,0.108697015670473,0.410328184295888,"NOT"
"ACTA2",0.443018810993893,1.98657684529753,2.57155512648741,0.108800726325984,0.410642876002373,"NOT"
"ZNF428",0.139415870611543,6.01353477163426,2.57048206551574,0.108874549425153,0.410834471386593,"NOT"
"TANC1",-0.575711241467963,1.04806052339567,2.57022555128331,0.108892204917838,0.410834471386593,"NOT"
"ZFP14",0.658026979059907,0.740431827670756,2.56959143783366,0.108935863503814,0.410880679357546,"NOT"
"RSPH4A",-1.31834193310068,-0.49749948337579,2.56945627454654,0.10894517195591,0.410880679357546,"NOT"
"ZNF517",-0.431445611468129,2.24218585637611,2.56903675967536,0.108974068755596,0.410912870246016,"NOT"
"MRPS14",0.146608140363926,5.59370057977217,2.56811686716428,0.109037461785627,0.411075101120072,"NOT"
"IQCH",0.496664867983982,1.73996374508652,2.56720433408829,0.10910038768994,0.411136500020472,"NOT"
"PBX1",-0.791728072123942,0.350262093759622,2.5671192340523,0.109106258000691,0.411136500020472,"NOT"
"JAK1",-0.120272535829642,6.68275578668744,2.56697330130237,0.109116325438832,0.411136500020472,"NOT"
"UTP4",-0.108912566475064,7.8824499992264,2.5665416323912,0.109146110885717,0.411136500020472,"NOT"
"GAK",-0.116639936878458,7.3803708950317,2.56640399142223,0.109155610084222,0.411136500020472,"NOT"
"ZNF491",2.07040019154941,-0.819849836866535,2.56593123233825,0.109188244152975,0.411137225633623,"NOT"
"STOX1",2.07039651849613,-0.819849836866535,2.56574463800834,0.109201127516745,0.411137225633623,"NOT"
"KIT",2.07039201632871,-0.819849836866535,2.56551593992559,0.109216920203253,0.411137225633623,"NOT"
"MTCH1",0.0968716798531811,8.24836242273802,2.56358712765652,0.109350213729809,0.411562227393001,"NOT"
"LIG1",0.112408795600849,7.1852061229981,2.56035722090593,0.109573821948673,0.412308576946756,"NOT"
"NCDN",-0.134695005427009,6.6759349440442,2.56005076139267,0.10959506440119,0.412308576946756,"NOT"
"NUDT1",0.231998956101728,4.53463434474374,2.55983811183177,0.109609807012504,0.412308576946756,"NOT"
"CIR1",0.242625140201048,4.20677468287447,2.55909969403842,0.109661017119741,0.412424335910082,"NOT"
"PGLYRP4",1.4679885625008,-0.557334137320846,2.55814673222968,0.10972714497416,0.412517450429523,"NOT"
"CSTF2T",-0.125673830258823,6.07685328412164,2.55805691985695,0.109733379487642,0.412517450429523,"NOT"
"NHLH1",-0.982306302936202,-0.0542219165016724,2.55785931045865,0.109747098327938,0.412517450429523,"NOT"
"COL10A1",1.46802664768962,-0.557334137320846,2.55660418174477,0.109834278452497,0.412768263212259,"NOT"
"AC006030.1",0.128135649983827,6.08111539458196,2.5562028829159,0.109862168373329,0.412796205537544,"NOT"
"ZCCHC6",0.189310395290313,4.89612243882506,2.55521461856616,0.109930885093237,0.412977511553724,"NOT"
"PLEKHH1",-0.265570932161973,4.37467917345825,2.55482926723689,0.109957692428519,0.413001338339837,"NOT"
"CDC37L1",-0.431301970570458,3.27949728627053,2.55418791945228,0.110002324340495,0.413092092950416,"NOT"
"LONRF1",0.397083926368609,3.00697875522171,2.55275667701229,0.110101997506315,0.413389471939523,"NOT"
"HNRNPA1L2",-0.283087337143047,4.08978056219999,2.55235124692737,0.110130250113004,0.413418634213271,"NOT"
"SETSIP",1.25283135285108,-0.441600605273733,2.55144235640972,0.110193615595075,0.41353132462561,"NOT"
"C22orf15",-0.348954616068407,3.42623473200504,2.55133286348343,0.110201251862471,0.41353132462561,"NOT"
"RTN2",-0.293779615979481,3.75320956782472,2.54778687026789,0.110448871792242,0.414326372273093,"NOT"
"SAC3D1",-0.176931326801287,5.13079860228489,2.54771089682483,0.110454183778269,0.414326372273093,"NOT"
"NARFL",-0.12620326280148,6.15361804598037,2.54622441285756,0.1105581737844,0.414639380253295,"NOT"
"H2AFZ",0.0841392018461355,8.49947542389476,2.54571256882974,0.110594005793789,0.414696698425204,"NOT"
"ZNF146",0.163106072214752,6.76567346769575,2.54477752156115,0.110659497439111,0.414846046567693,"NOT"
"FAM217A",0.89739828755328,0.105796753795553,2.5445570248955,0.110674947461496,0.414846046567693,"NOT"
"BCAT1",0.146319407833312,7.87251902463429,2.5434119142959,0.11075522260256,0.415066695460361,"NOT"
"C11orf96",0.435039481762138,2.10606583773718,2.5431306774635,0.110774947809797,0.415066695460361,"NOT"
"QTRT1",-0.139094817080071,5.87367855820513,2.54121338136238,0.110909524914966,0.415493804029875,"NOT"
"NOP58",0.117244545022468,7.60963087903238,2.53895667373471,0.111068156196119,0.416010850073104,"NOT"
"ELMOD2",0.299938292199703,4.35650892771817,2.53653078999194,0.111238957891968,0.416510788892694,"NOT"
"PEX14",-0.146233600414269,6.25292147019377,2.53647471727546,0.111242909277619,0.416510788892694,"NOT"
"ADPRM",-0.483111177396506,1.54563279099751,2.53579063253084,0.111291128452933,0.416614035115682,"NOT"
"TMEM2",-0.179245497258067,5.29586862929877,2.53533151544316,0.111323503200846,0.416657941041592,"NOT"
"ZFP64",-0.307761586903515,3.78803973362792,2.5347730879533,0.111362894815549,0.416728088313108,"NOT"
"ZC2HC1C",0.386569967393403,2.80596381714304,2.53438344522287,0.111390389397108,0.416749751721884,"NOT"
"BCAN",-0.15221524696089,6.35176648405211,2.53410580611974,0.111409985161269,0.416749751721884,"NOT"
"RNF34",-0.123387206416266,6.13592793991876,2.53300507468146,0.111487712118915,0.416881526626217,"NOT"
"AXDND1",1.17718672293043,-0.14218400103663,2.53296627172671,0.111490453236377,0.416881526626217,"NOT"
"PRSS16",0.34280496107824,3.33368831453882,2.53272945535639,0.111507184021026,0.416881526626217,"NOT"
"ZBTB42",-0.347337846622187,3.44627256494217,2.53143437256457,0.11159872891767,0.417104344286934,"NOT"
"CEND1",-2.06415569887831,-0.894208075609406,2.53095110178667,0.111632910839484,0.417104344286934,"NOT"
"KCNH3",-0.844647103166316,0.285574412528635,2.53087805554048,0.111638078430173,0.417104344286934,"NOT"
"PXYLP1",0.712209223551545,0.558215322939778,2.53071724412034,0.111649455816759,0.417104344286934,"NOT"
"FNDC10",-0.469591087708546,2.74980350973215,2.53023523157788,0.11168356578714,0.417154551388169,"NOT"
"PARD3B",0.710769582924964,0.558679577022607,2.52846944642784,0.111808620887945,0.417544370492157,"NOT"
"FBXW9",-0.190195682917795,4.79376795145832,2.52708309869574,0.111906911785744,0.417834114106956,"NOT"
"CMC1",0.161628266355766,5.36269517749082,2.52611675229374,0.111975481204336,0.418012798036388,"NOT"
"UFD1",0.0833081850264988,8.47725851125324,2.52399879347396,0.11212592789366,0.418497013283144,"NOT"
"DOCK6",-0.19054796590823,4.80327780322216,2.52252430233774,0.112230798030855,0.41873514488901,"NOT"
"RGS10",-0.148008561350714,5.48407915929556,2.52245722557276,0.112235571295051,0.41873514488901,"NOT"
"HNRNPU",-0.0723353545135238,10.4994275193995,2.52222671647809,0.1122519763069,0.41873514488901,"NOT"
"GPC6",0.374449689172006,2.90758046331917,2.51897416379438,0.112483737692734,0.419522142002783,"NOT"
"SQSTM1",-0.115710438781509,8.044656655346,2.51658854326336,0.112654060657153,0.420079748359572,"NOT"
"MPP5",0.279216408162613,4.49592761401584,2.51624400005929,0.112678683016332,0.420093940874303,"NOT"
"ZNF624",0.78663234587632,0.34963288137599,2.5151615720768,0.112756075984743,0.420133964297874,"NOT"
"ZNF582",0.565315053682589,1.08667069649252,2.51503385026951,0.112765211881049,0.420133964297874,"NOT"
"PAGE2",0.445159394094322,1.98633295858353,2.5149384604541,0.112772035613184,0.420133964297874,"NOT"
"GP1BA",-0.560834643650415,1.08656755048309,2.51492929383736,0.112772691373152,0.420133964297874,"NOT"
"IKBKG",-0.167672862388309,5.40930366071058,2.51285236730983,0.112921378571624,0.420610251191203,"NOT"
"MAPK11",-0.238212624795214,4.48810010637821,2.50946121189746,0.113164615882908,0.421438478157036,"NOT"
"CNTF",-0.518349907594658,1.31660367969036,2.50908652648555,0.11319152633056,0.421460921195023,"NOT"
"UTP20",-0.124467467051762,6.93838261747402,2.50865210523409,0.113222735920338,0.421497570070157,"NOT"
"CALCOCO2",0.168944310493669,5.37025717871367,2.50836815095793,0.113243140821584,0.421497570070157,"NOT"
"APPBP2",0.241826480859291,4.28805429319373,2.5080575551489,0.113265464818965,0.421502921908822,"NOT"
"MAGOH",-0.14085998311263,5.76544940993862,2.5075430216735,0.11330245745812,0.421562849181843,"NOT"
"C20orf24",-0.353698146023181,3.6651352936944,2.50466482980121,0.113509632197954,0.422255831776391,"NOT"
"WNT3",0.505762768532369,2.56468600135534,2.50419324014583,0.113543617420483,0.422304412672829,"NOT"
"EML3",-0.120194330143859,6.26376749178824,2.50203299629199,0.113699439338775,0.422806041145351,"NOT"
"ZRANB2",0.139049236457485,7.64062975816153,2.50134250991008,0.113749294949862,0.422913507992476,"NOT"
"ITGB2",2.47966757264615,-1.14205079685098,2.50067640317172,0.113797413100499,0.423014476658902,"NOT"
"ANKRD27",0.115324143571223,6.59464382470451,2.50003880272534,0.113843493036207,0.423107832958321,"NOT"
"GPR84",2.47968443505563,-1.14205079685098,2.4995670039735,0.113877603581982,0.423156677939235,"NOT"
"QRICH2",0.536267525678211,2.36358119354509,2.49886140460626,0.113928638690711,0.423268383176957,"NOT"
"TRAM1",0.149398411433664,6.44323727628879,2.49718077959238,0.114050297757171,0.423642381564049,"NOT"
"SMARCB1",-0.126883291741084,6.51916929017006,2.49623611119483,0.114118744407049,0.423818619962946,"NOT"
"SBNO1",-0.128666325325512,7.18562658726458,2.49511093466134,0.114200329016581,0.424043576795513,"NOT"
"TRAF3IP2",-0.294748075571921,4.19834727475676,2.4932030770093,0.114338811506978,0.424446363564925,"NOT"
"OXCT2",-1.17448053991025,-0.386538167673338,2.49303708874877,0.114350868574526,0.424446363564925,"NOT"
"ARMC8",0.196273749670275,5.25769189553255,2.49067536277549,0.1145225717925,0.425005520659147,"NOT"
"PIAS3",0.195874822054831,4.68937258866745,2.48969677485625,0.114593800816229,0.425191670210023,"NOT"
"SLC41A3",0.187468069303704,4.77166937239368,2.48786012496175,0.114727618031008,0.425609937405106,"NOT"
"NCOA7",0.228201701119952,4.33902095579048,2.4872041852364,0.114775451172878,0.425709130696537,"NOT"
"NAGLU",0.22017525258045,4.58984634420735,2.48607416696548,0.114857907184162,0.425867425440211,"NOT"
"CPLX1",0.460097727058234,1.75347300602031,2.48604092479798,0.11486033381255,0.425867425440211,"NOT"
"SPRY2",-0.344103876582914,3.47927644660534,2.48556238251868,0.114895272949661,0.425918718478529,"NOT"
"JMJD7-PLA2G4B",0.42292522167223,2.34891926429501,2.48464377188659,0.114962375041951,0.426089199397909,"NOT"
"TMA7",-0.121514528719169,6.29300385286188,2.48414732517345,0.114998657165515,0.426097897004244,"NOT"
"CLSTN1",0.134803064756246,5.96810274301755,2.48403388773368,0.115006949357421,0.426097897004244,"NOT"
"CCDC71L",-0.139533377935994,6.18796017599787,2.48374350861831,0.115028178859154,0.426098325542692,"NOT"
"ZNHIT6",-0.135469388359893,5.86395829449446,2.48147362159489,0.115194278478188,0.426635297112922,"NOT"
"HIST2H2AC",-0.917515674080006,0.142997533161652,2.48095472430704,0.115232286085543,0.426697755136209,"NOT"
"APC2",0.194691162835064,5.08548379653333,2.47918778196372,0.115361812924654,0.427099017910925,"NOT"
"KAT6A",-0.119781297733904,6.60302155604284,2.47857242330393,0.115406959899065,0.427187794886836,"NOT"
"CSNK1D",-0.125327806645153,7.68980475365845,2.47795042664936,0.115452613698797,0.427278415011081,"NOT"
"PCCA",0.402957122461579,3.26394389437336,2.47755703463786,0.115481498484397,0.427306952862782,"NOT"
"ALG10B",0.43012709125991,2.21599282697567,2.47715860200674,0.115510761506976,0.427336879554955,"NOT"
"SNRNP25",-0.146380356605892,7.45883071250029,2.4744271169776,0.115711596888799,0.428001418037545,"NOT"
"MT-CO1",0.277639144278437,13.3396024764953,2.47297909112399,0.115818220849903,0.428317301625783,"NOT"
"RC3H1",0.151270315937589,5.58255988066451,2.47064549450079,0.115990281257256,0.428875021262858,"NOT"
"LARGE2",-0.350046256903658,3.52965306482943,2.47034134660574,0.11601272742484,0.428879438021743,"NOT"
"SENP8",0.507846903994729,1.36663968163517,2.4688459581709,0.116123157128989,0.429209053849839,"NOT"
"SAR1A",0.113534056996473,6.92768198453018,2.46760551495594,0.116214848005174,0.429469300053545,"NOT"
"VWDE",-0.126257743759085,7.11106289144859,2.46697930582191,0.116261166391105,0.429530635137221,"NOT"
"C16orf87",0.362290491544413,3.40313507642844,2.46680567047325,0.116274013168557,0.429530635137221,"NOT"
"SAMD9L",0.897409567344974,0.105775420214164,2.46389661898072,0.116489478782397,0.430247835158777,"NOT"
"TPMT",0.157677047665745,6.18174391730591,2.46351405453492,0.116517847093081,0.430273864992766,"NOT"
"CDK9",-0.125272374012539,6.20330703870438,2.46264119833757,0.116582600587949,0.430434222917198,"NOT"
"ZKSCAN3",0.232898641602959,4.38615650231804,2.45992802503429,0.116784133322112,0.431099431968822,"NOT"
"ZNF449",0.454787613276406,2.27684292311771,2.45782746503602,0.116940425850321,0.431597427594245,"NOT"
"BUD31",0.118570075819233,6.57463841488959,2.45741690030662,0.116971000977318,0.431631334928368,"NOT"
"RABIF",0.238442321285967,4.72558885043248,2.45486469221088,0.117161264436854,0.43225438347352,"NOT"
"B3GALNT1",0.629612630723464,0.787853681454284,2.45433066254394,0.117201118828118,0.43225532378008,"NOT"
"THBD",0.433236307003046,2.1705891514837,2.45407506253442,0.117220199441098,0.43225532378008,"NOT"
"EIF4G3",0.147259092232649,5.5490961237125,2.45391431173171,0.117232201292122,0.43225532378008,"NOT"
"STXBP1",0.178558898681572,5.40709337539909,2.45371351399054,0.117247195003823,0.43225532378008,"NOT"
"NUDT16",0.154048026348219,5.38964877349873,2.45217924305918,0.117361830095263,0.432598921123745,"NOT"
"ANKRD23",0.320568749961721,3.41952854649929,2.44790986933981,0.117681474437978,0.433674390207166,"NOT"
"EXTL1",0.784219048092702,0.349943690124685,2.4477084573448,0.117696577729778,0.433674390207166,"NOT"
"ST7",0.15090710463115,5.60479623692223,2.44712595140156,0.117740270193313,0.433756187070326,"NOT"
"WEE1",0.112394184103716,7.06218622867324,2.44581822681717,0.117838425000687,0.434038557207313,"NOT"
"PIK3C2B",-0.431233268757864,2.07714261698839,2.4446656220336,0.117925011871221,0.434278223462247,"NOT"
"MRPL33",-0.202100230744865,4.65889276621538,2.44350357527149,0.118012379256924,0.434466395615934,"NOT"
"LMAN2",-0.119947965070525,7.68759842636211,2.44341335215326,0.11801916558974,0.434466395615934,"NOT"
"TICRR",0.12042111860586,6.35357393266862,2.44160825850444,0.118155030438287,0.434887227662788,"NOT"
"NFIB",-0.419649142174047,2.40474236930974,2.43874761392593,0.118370698283742,0.435601579515718,"NOT"
"ZNF121",-0.170776773173122,6.14784756437847,2.43815140108543,0.118415702367917,0.435687746488048,"NOT"
"THOC7",0.166349588811333,5.16294517494441,2.43722413334714,0.11848573315588,0.435865946193733,"NOT"
"KANSL1L",0.349609949833987,3.79865254308109,2.43561254474356,0.118607555465982,0.436087691292528,"NOT"
"ZNF12",0.223627820920006,4.7361698602009,2.43552112369293,0.118614470266087,0.436087691292528,"NOT"
"CKLF",-1.30233567119293,-0.497814244765106,2.43551335540253,0.11861505785564,0.436087691292528,"NOT"
"FAM156B",-0.471890013965246,1.571889412995,2.43528347158001,0.118632447608938,0.436087691292528,"NOT"
"OR2B2",-0.604061883800663,0.86046510148122,2.43379336242625,0.118745236559422,0.436405221699353,"NOT"
"AC008372.1",2.26074998152481,-1.23511938371141,2.43357100851313,0.118762077081059,0.436405221699353,"NOT"
"COLQ",2.26353532210974,-1.2350977011931,2.43070847395619,0.118979114289037,0.437123157740223,"NOT"
"PPM1D",-0.18371470480664,4.91655057132513,2.42895042922611,0.119112626614951,0.437534022154408,"NOT"
"NUTM2A",-0.602658141061668,0.858287844597013,2.42803784939298,0.119181996601439,0.43770132266195,"NOT"
"ZNF317",-0.157907243922256,5.89811668964015,2.42778073292588,0.119201549445026,0.43770132266195,"NOT"
"AVEN",0.301697024016119,3.86948265368071,2.42748876102406,0.11922375723112,0.437703228066441,"NOT"
"CKAP4",2.26361949546446,-1.2350977011931,2.42618763685085,0.119322778206296,0.437987083845264,"NOT"
"GABPB2",0.226512195814945,4.32108623650631,2.42524016942092,0.119394941690689,0.438172271005602,"NOT"
"C11orf80",0.410432934068101,2.28361109148646,2.42363144050555,0.119517580541008,0.438542598708742,"NOT"
"MYT1",1.59152045414553,-0.498502379619421,2.421215679414,0.11970200413298,0.439139455627644,"NOT"
"HSPB1",-0.10419292496858,8.41214697214194,2.42012929901414,0.119785043041174,0.439364222757895,"NOT"
"C12orf49",-0.171953675654358,5.15461447246781,2.41854871671739,0.11990597081312,0.439727856983385,"NOT"
"TBC1D30",0.676378192528897,0.612388045053062,2.41742694364259,0.119991877832194,0.439962951768078,"NOT"
"ZNF227",0.378579767038663,2.95094922571055,2.41611613265891,0.120092347990246,0.440251348735905,"NOT"
"HIST1H2AH",-0.923443494127883,0.0286293223539079,2.41547657136922,0.120141402457855,0.440351188340352,"NOT"
"ZNF385D",-0.534467411108648,1.16265595050859,2.41446957868633,0.120218683951042,0.440554432688575,"NOT"
"ALPK1",0.545844875832256,1.12503226373868,2.41350880042466,0.120292470040019,0.44074479627408,"NOT"
"C1RL",0.31933184986686,3.75624343248747,2.41232301486913,0.120383605441512,0.440927733176029,"NOT"
"RALGPS1",0.443660807096283,1.80022510655034,2.41229061940368,0.120386096318315,0.440927733176029,"NOT"
"AGPAT5",-0.151726908907781,6.62305929330271,2.41139410751019,0.120455051475914,0.441030963903226,"NOT"
"TBC1D10A",0.420637163680212,2.14359697632147,2.41135593019437,0.120457988852613,0.441030963903226,"NOT"
"C5orf42",1.72014538623921,-0.682584439872466,2.40942833497692,0.120606401903751,0.441494249377761,"NOT"
"CYB561A3",0.117541170330037,7.23262026117721,2.40905381120261,0.120635261435322,0.44151980613461,"NOT"
"GPX2",-1.46590639140879,-0.618375369618662,2.40835898598085,0.120688822569377,0.441635744020415,"NOT"
"TMEM251",-0.459220482543323,1.62710480563107,2.40605533634272,0.120866589684007,0.442206063526641,"NOT"
"GTF2E1",-0.233543847563831,4.55842233347587,2.40488195459823,0.12095724821506,0.44240156756866,"NOT"
"URGCP",-0.206000420803115,4.57052077842981,2.40479629467789,0.120963869473458,0.44240156756866,"NOT"
"RSPH3",0.413560937146647,2.6255544768798,2.40412332068974,0.121015902342677,0.442511673342557,"NOT"
"TRNT1",-0.159276273663985,5.4748345280483,2.40365302582993,0.121052279225864,0.442564501278473,"NOT"
"RAB14",0.133142450978604,6.56566794511379,2.40230591259069,0.121156544285876,0.442839859294439,"NOT"
"NMNAT3",-0.400436876518012,2.45921010720139,2.40211300542041,0.121171483227981,0.442839859294439,"NOT"
"UBLCP1",0.17385502705877,5.24108069857958,2.40097946867666,0.121259306793771,0.443071146930884,"NOT"
"PPP1R35",-0.151765480385402,5.66462474317231,2.40072955786945,0.121278678739716,0.443071146930884,"NOT"
"PSMC6",0.114250157482029,6.59857108142908,2.40022854652957,0.121317525182931,0.443079617194298,"NOT"
"DHRS7",-0.268243204372437,3.85126025963663,2.40013335115976,0.121324907815058,0.443079617194298,"NOT"
"SLC38A7",-0.183735870753822,4.83854107570186,2.39771562135924,0.121512575617937,0.443684691251238,"NOT"
"TNFRSF13C",0.675584350982869,0.612633808974666,2.3960320319069,0.121643448349603,0.444047371129969,"NOT"
"ZNF888",0.222729660653701,4.30439573918499,2.39568459238282,0.121670475776474,0.444047371129969,"NOT"
"ARHGEF17",-0.6930170584529,0.531258483779104,2.395589001284,0.121677913004744,0.444047371129969,"NOT"
"GGN",0.494708167309216,1.39696851306262,2.39444443370391,0.121767002392282,0.444222461195229,"NOT"
"CATSPER3",-1.57847514677368,-0.819889267721792,2.39440702946223,0.121769915035529,0.444222461195229,"NOT"
"KPTN",0.213427153412785,4.47058522475849,2.39371115103203,0.121824116707962,0.444339869742161,"NOT"
"FAM220A",0.369429040871235,2.9186783781735,2.39333165188912,0.121853687001842,0.444367411887274,"NOT"
"CERS5",0.214092086040065,4.51677364281144,2.39156726104159,0.121991271565553,0.444788771718957,"NOT"
"ZNF530",0.369420351232885,3.23377306752766,2.39001106393995,0.122112764433539,0.445151318466988,"NOT"
"UCK2",-0.109944374514586,7.13146740409988,2.38688379715864,0.122357317148652,0.445815659843736,"NOT"
"ZIK1",0.43187162758346,1.95565435697151,2.38679906543527,0.122363950733528,0.445815659843736,"NOT"
"COPS6",0.120123094345181,6.67203828452927,2.38661357702861,0.12237847387783,0.445815659843736,"NOT"
"ARL3",0.324768973772664,3.39687313379444,2.38655107145067,0.122383368293657,0.445815659843736,"NOT"
"FUT8",-0.403374932435179,3.08755563384233,2.38482781974601,0.12251839074205,0.446226970504479,"NOT"
"SLC22A31",-0.69162397073399,0.530772618965012,2.38421116225962,0.122566748016116,0.446322544517004,"NOT"
"CHAC2",0.260902409925826,4.13731487293305,2.38306040618466,0.122657045047779,0.446504672134555,"NOT"
"ESRRA",-0.142812879094111,7.17921242294735,2.3830098603398,0.122661012948515,0.446504672134555,"NOT"
"COA6",-0.140556982692321,5.6411546894292,2.38154907423479,0.122775747692415,0.446841724829689,"NOT"
"FAAH",-0.693381431986877,0.531195017862952,2.38122147501276,0.122801494705562,0.446854843969157,"NOT"
"SSR4",0.114399841833673,6.81072706988473,2.38090907312517,0.122826052893057,0.446863633213409,"NOT"
"RBCK1",-0.135995983616271,5.99191645997971,2.37932884783037,0.122950359297439,0.447152962612958,"NOT"
"PACSIN1",0.570926898828988,0.986839291111771,2.37871907301106,0.122998363765188,0.447152962612958,"NOT"
"SLC37A3",0.205027088228089,4.75883970440984,2.37859970424408,0.123007763493944,0.447152962612958,"NOT"
"GPAT2",0.570877751186004,0.987054935872188,2.37843590727718,0.123020663031433,0.447152962612958,"NOT"
"IZUMO4",0.570882289546425,0.987065369835469,2.37837769659079,0.123025247671464,0.447152962612958,"NOT"
"SEZ6L2",0.741120555602597,0.412166567305718,2.37810512546161,0.12304671773802,0.447152962612958,"NOT"
"ZYG11B",0.16860462306414,5.08435427733342,2.37792791531028,0.123060678576501,0.447152962612958,"NOT"
"GPRC5D",0.570774365348745,0.98713495631965,2.37699362927598,0.123134311866428,0.447299899428725,"NOT"
"TMEM269",0.392965016703411,2.56448407473337,2.37675236933099,0.123153334072773,0.447299899428725,"NOT"
"ZMYM3",-0.111044118406243,6.78279965782551,2.37657133159035,0.123167610184105,0.447299899428725,"NOT"
"PABPC3",-0.865544547309543,0.106750409217377,2.37492865987443,0.123297230462183,0.447534217468911,"NOT"
"ADAP1",2.14963898004719,-0.820176285232954,2.37477895405703,0.12330905100311,0.447534217468911,"NOT"
"ANGPTL6",0.570444320418598,0.987994419153884,2.3747370029434,0.123312363624023,0.447534217468911,"NOT"
"ASB12",1.59912371821512,-0.749880419782865,2.37448275397307,0.123332442211209,0.447534217468911,"NOT"
"CLMP",1.5991270602551,-0.749880419782865,2.37434893521668,0.123343011622917,0.447534217468911,"NOT"
"FES",0.423186554084413,2.27650638593808,2.37183724998009,0.123541578744931,0.448174114803425,"NOT"
"FAM86B2",-0.58489547636507,0.903105952749734,2.37112148282481,0.123598230316305,0.448299044934104,"NOT"
"CASC3",-0.120709748558747,7.19223209154483,2.37062732884231,0.123637358461215,0.448357439476565,"NOT"
