"","logFC","logCPM","LR","PValue","FDR","change"
"FURIN",0.0588394636309951,8.14517731302292,0.90393045710994,0.341729992798024,0.734876501506905,"NOT"
"ZNF705A",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"ZNF334",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"ZAR1L",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"WFDC10B",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"UMODL1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"UGT8",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TTC34",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TNFRSF18",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TMPRSS4-AS1",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TMPRSS11E",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TMIGD3",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TMEM249",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TMEM190",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TM4SF18",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TEX13D",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TDRD6",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"TCP11",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SYT12",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SYNPO2",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"ST14",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SPATA31A6",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
"SPATA12",2.29173777916365,-1.97189456130475,0.903826380857842,0.341757785578498,0.734876501506905,"NOT"
