"","x"
"726","SPRED2"
"727","C19orf44"
"728","LPCAT4"
"729","CDC42BPB"
"730","ZNF398"
"731","NUFIP1"
"732","SLC25A29"
"733","CFAP57"
"734","TC2N"
"735","C11orf24"
"736","ID1"
"737","HDGFL2"
"738","RHOH"
"739","DBNDD1"
"740","RNF166"
"741","ABHD14B"
"742","PDCD1"
"743","TOMM22"
"744","CDAN1"
"745","CHRNB1"
"746","RAI1"
"747","KLF13"
"748","MXD1"
"749","TBP"
"750","C19orf53"
"751","CD96"
"752","SCART1"
"753","PUSL1"
"754","AL391650.1"
"755","ZNF282"
"756","RASSF3"
"757","TBC1D13"
"758","NAGPA"
"759","NTRK1"
"760","CRLS1"
"761","CTU2"
"762","MRI1"
"763","METRNL"
"764","ECM1"
"765","DDX28"
"766","NDUFAF8"
"767","TNFRSF21"
"768","FASTKD5"
"769","EPOP"
"770","BAMBI"
"771","FAM129A"
"772","ZBTB17"
"773","C8orf82"
"774","SLC25A19"
"775","FAM171A1"
"776","SCO1"
"777","TMEM185B"
"778","GFOD1"
"779","DNAJC12"
"780","C8orf22"
"781","TRAPPC12"
"782","QPCTL"
"783","SLC9A3R2"
"784","NOL4L"
"785","CEP170B"
"786","SLCO4A1"
"787","SUSD3"
"788","BAG4"
"789","PLXND1"
"790","LRP12"
"791","NAA10"
"792","TEAD2"
"793","GMEB1"
"794","AKAP11"
"795","CDK11B"
"796","MGST1"
"797","FBXO31"
"798","ARL10"
"799","NES"
"800","MOB3A"
"801","ZNRF3"
"802","SOSTDC1"
"803","TESMIN"
"804","NOTUM"
"805","BBC3"
"806","TMEM158"
"807","TET1"
"808","GRK3"
"809","CD3G"
"810","CYB561"
"811","GAD1"
"812","EXOSC5"
"813","SEMA6C"
"814","BCL9L"
"815","TRMT61A"
"816","VANGL1"
"817","PDXP"
"818","GMFG"
"819","AMMECR1L"
"820","TBL2"
"821","PCK2"
"822","HPCAL1"
"823","PYURF"
"824","GP6"
"825","C11orf68"
"826","PLCB2"
"827","CCDC116"
"828","TMEM203"
"829","ZNF618"
"830","P2RY1"
"831","ATP5J2"
"832","ZNHIT2"
"833","GAN"
"834","CTDP1"
"835","PRR12"
"836","MAML1"
"837","SMARCA2"
"838","RABEPK"
"839","TUBB2A"
"840","SIGMAR1"
"841","TNFRSF1A"
"842","ZBED6CL"
"843","NOP9"
"844","FAM58A"
"845","COQ8A"
"846","SRCAP"
"847","ARHGAP39"
"848","RIPOR1"
"849","COX8A"
"850","PEX5"
"851","OAF"
"852","RRS1"
"853","HDHD5"
"854","SLC25A32"
"855","CAMKK1"
"856","CIDEB"
"857","TMEM99"
"858","STON2"
"859","MARS2"
"860","TOMM40L"
"861","ZNF581"
"862","PER2"
"863","TACO1"
"864","KCNK1"
"865","EPS8L1"
"866","IRF2BP1"
"867","S100P"
"868","ARL15"
"869","CAPN10"
"870","CD99"
"871","QTRT2"
"872","RALGDS"
"873","KLC3"
"874","RAB5C"
"875","DLG4"
"876","BAK1"
"877","TRAK1"
"878","NCKAP5L"
"879","TATDN2"
"880","RNF113A"
"881","PTPN22"
"882","SLC35B4"
"883","HOXB6"
"884","DPH5"
"885","ZKSCAN5"
"886","PCDH10"
"887","KLHL6"
"888","CERS6"
"889","LDLRAD3"
"890","PYCR3"
"891","PSEN2"
"892","MEX3A"
"893","C1orf35"
"894","NPB"
"895","PTPRR"
"896","LONRF2"
"897","LYZ"
"898","ZNF710"
