"","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"SOCS2",0.120280069623661,6.77650349098006,1.73788472025022,0.202873410043084,0.629100843282034,-10.0443960041747,"NOT"
"PAX9",0.185453268850767,3.71958464865369,0.92768536916561,0.43704010823477,0.841995840027293,-10.0444775707188,"NOT"
"KIN",0.125543393006694,3.88723876675054,0.983673837069874,0.413708145822026,0.818694262682321,-10.0448669362093,"NOT"
"RPL7A",0.145852779251504,10.526998591357,2.59221988577115,0.101458270867653,0.440044995568475,-10.0448760099366,"NOT"
"RNF185",0.0892603270580885,4.37758912960924,1.13759175243798,0.355938261728467,0.812050566737149,-10.0450615831186,"NOT"
"SUPV3L1",-0.15842720580309,6.40552977043647,-1.65723436421032,0.218087860106987,0.655413167967314,-10.0454677849618,"NOT"
"DUSP28",0.0847136404704147,3.45994632450305,0.834170304586654,0.478919685814619,0.889560808046464,-10.047368297482,"NOT"
"OSTF1",0.0844953849506362,4.34750976045253,1.12625096568695,0.359889424487517,0.812050566737149,-10.0474471441698,"NOT"
"SH3YL1",-0.0838201378584746,2.4677393779602,-0.353796194684445,0.75218215615682,1,-10.0481059023144,"NOT"
"MVK",0.0637410969281067,5.94305507912946,1.54938561431358,0.240651535307951,0.687473681626668,-10.0481629416174,"NOT"
"BCAS1",-0.190845809204529,3.0707154669954,-0.679060488101742,0.556656403613647,0.973051787035687,-10.0482074329118,"NOT"
"POLG",0.0631621523842432,7.25412260063218,1.83430056594666,0.186355695402291,0.599174711647495,-10.0484936204825,"NOT"
"TMEM123",0.253523745361407,6.89305657471938,1.75741193893944,0.199386765842605,0.624817441221988,-10.0489332416075,"NOT"
"TIAF1",0.0185390850802878,2.23590674716976,0.07834516518194,0.94360326549023,1,-10.0490257231507,"NOT"
"CYC1",-0.114011754157652,8.57711627599053,-2.10821895516286,0.147782127309447,0.530161333568749,-10.0491062164,"NOT"
"SENP5",-0.0420228560735678,6.29274799701485,-1.62888718018223,0.223762473417913,0.665843479216588,-10.0491129499303,"NOT"
"PPP1R3B",0.0965872824638359,2.7956638412116,0.546333889932383,0.631380077310627,1,-10.0497823315403,"NOT"
"SLC39A13",0.0765524676409712,3.62444714202649,0.890851970087786,0.453095405332892,0.860740531376797,-10.0498048369892,"NOT"
"SPIN1",0.109225844353908,5.30027577996681,1.39129614482663,0.278945253634941,0.735520565363895,-10.0498915750587,"NOT"
"SNED1",0.219992666307264,2.91392721275296,0.600973370621983,0.599719986517538,1,-10.0503475234373,"NOT"
"TOR4A",-0.185714685246734,7.29187810297927,-1.84043586677192,0.185361944727745,0.597958263219783,-10.0504955652106,"NOT"
"NUDT17",0.187335429226914,2.88923092667127,0.589849451995371,0.60606508047273,1,-10.0510429922918,"NOT"
"ZNF2",0.0804788986458389,2.64308178014491,0.461581445918446,0.682867267632124,1,-10.0510894556732,"NOT"
"MIP",0.0564784432476984,2.44042466445988,0.324809797147253,0.771478178003428,1,-10.051160268013,"NOT"
"PSMD9",-0.0572316917886142,2.27376749832801,-0.147907412411978,0.893921283189138,1,-10.0512413560014,"NOT"
"RHPN1",-0.166750280536743,2.89556879303172,-0.593469526563103,0.60399449573392,1,-10.0526727051415,"NOT"
"APEX1",-0.131767015070711,7.48159198117886,-1.87742908010336,0.179507689555408,0.586948263596513,-10.0527631438611,"NOT"
"LMAN2",-0.0976923684475821,7.68486700575527,-1.91906872634159,0.173191367664944,0.577523957509293,-10.052871671299,"NOT"
"CDC42BPA",0.0762597265686766,6.81392325441724,1.73812345103367,0.202830334286518,0.629100843282034,-10.0530741085108,"NOT"
"NRDE2",0.106125907012822,6.77182709466605,1.72835655087532,0.204601829510704,0.631729158942503,-10.0537820975405,"NOT"
"TMEM67",-0.00316834502321939,2.23842009592827,-0.0141673821125777,0.989787334289001,1,-10.0540036111398,"NOT"
"RHOBTB2",0.166213039180755,3.10857323305954,0.685265649019909,0.553346503401208,0.969839136852357,-10.0540424539768,"NOT"
"RUNX1",-0.087889532838175,6.80956093632031,-1.73623230483149,0.203171873811699,0.629570944228375,-10.0545819015955,"NOT"
