"","x"
"559","FRRS1"
"560","PMPCB"
"561","AKR1A1"
"562","SPATA9"
"563","KLHL3"
"564","HOXC12"
"565","MFN1"
"566","DMC1"
"567","ATP1B2"
"568","ATP2C1"
"569","OSBPL9"
"570","DHRS13"
"571","MCF2L2"
"572","KIAA1524"
"573","CENPH"
"574","GRN"
"575","SRPX2"
"576","POTEF"
"577","ARL2BP"
"578","ATP6V1B2"
"579","RACGAP1"
"580","FAM213A"
"581","RMI2"
"582","C2CD5"
"583","XRN1"
"584","MARCH7"
"585","REXO5"
"586","TAF9B"
"587","DENND4A"
"588","MGAT5"
"589","RPS6KC1"
"590","HMGB3"
"591","GPATCH11"
"592","NEK2"
"593","USO1"
"594","JAK2"
"595","NT5M"
"596","ERG28"
"597","CYB5R1"
"598","OFD1"
"599","ID2"
"600","PSRC1"
"601","RIT1"
"602","ENO2"
"603","NEK7"
"604","SPPL2A"
"605","SLC22A4"
"606","DGCR6"
"607","DMBX1"
"608","SUCLA2"
"609","SS18"
"610","ARHGAP24"
"611","MORC3"
"612","ACSS1"
"613","N4BP2L2"
"614","ACVR1"
"615","ZC3HAV1"
"616","CBLB"
"617","KLF6"
"618","SCRN3"
"619","SNAPIN"
"620","B3GLCT"
"621","ASIC1"
"622","ATP8B2"
"623","CENPK"
"624","COA1"
"625","PLCXD1"
"626","RABGAP1L"
"627","CCDC32"
"628","SERF1A"
"629","MYRF"
"630","COMMD2"
"631","TP73"
"632","HS3ST3A1"
"633","WNT2B"
"634","TRPM7"
"635","CCNI2"
"636","SFXN5"
"637","GJB7"
"638","TUBA1A"
"639","RNASE1"
"640","SELENOP"
"641","ABCA8"
"642","GFPT1"
"643","ZNF431"
"644","SPATA13"
"645","LPXN"
"646","FAM72C"
"647","ZNF486"
"648","NEB"
"649","EXOSC9"
"650","YTHDC2"
"651","LANCL1"
"652","HLA-DMA"
"653","PEX1"
"654","SCAI"
"655","SLC46A3"
"656","PTK2"
"657","ZNF605"
"658","KIF15"
"659","GNAL"
"660","SENP2"
"661","USP6NL"
"662","CENPF"
"663","ATP6V1D"
"664","GIPC1"
"665","NAPEPLD"
"666","TTLL7"
"667","ASNSD1"
"668","RPH3AL"
"669","MGAT4A"
"670","ATP2B1"
"671","ACOT8"
"672","ATP6V0E2"
"673","KIF11"
"674","MFHAS1"
"675","RRAGA"
"676","FBXO32"
"677","SVBP"
"678","CFH"
"679","CAV2"
"680","CCZ1B"
"681","MUC4"
"682","PKN2"
"683","ZNF219"
"684","KLF9"
"685","POLQ"
"686","PHTF1"
"687","PQLC2"
"688","SEC22C"
"689","FAM219B"
"690","PRPF39"
"691","TPGS1"
"692","NFASC"
"693","ZUFSP"
"694","SOHLH2"
"695","ORC3"
"696","AQP1"
"697","AC090004.1"
"698","SERINC1"
"699","WBP5"
"700","RB1CC1"
"701","ADCK5"
"702","LGI4"
"703","NFATC4"
"704","DOPEY1"
"705","PCSK6"
"706","TRA2A"
"707","TUFT1"
"708","ZNF260"
"709","ZDHHC13"
"710","PIAS1"
"711","SPARC"
"712","KYNU"
"713","DYNLRB1"
"714","STK17A"
"715","IPP"
"716","DERL2"
"717","VGLL4"
"718","SCMH1"
"719","PTGDR2"
"720","STAG2"
"721","CABLES2"
"722","NPDC1"
"723","APPL1"
"724","SLC7A7"
"725","IFT52"
"726","PCM1"
"727","BICD1"
"728","OIP5"
"729","AGTPBP1"
"730","NOSTRIN"
"731","TMEM205"
"732","DCST2"
"733","ZCRB1"
"734","SEC62"
"735","KATNAL1"
"736","TAC3"
"737","MOSPD1"
"738","TMEM87B"
"739","MAPK10"
"740","AP5M1"
"741","SMIM10"
"742","R3HDM2"
"743","UBE2Q2"
"744","LCORL"
"745","SRP54"
"746","CDC7"
"747","C7orf73"
"748","ZNF570"
"749","ZNF615"
"750","KATNA1"
"751","SLC5A2"
"752","TMEM126A"
"753","BCAS3"
"754","KRCC1"
"755","VANGL2"
"756","ERICH6B"
"757","HSD17B12"
"758","CENPI"
"759","ACP5"
"760","CCDC167"
"761","RIMKLB"
"762","BBIP1"
"763","GPR146"
"764","PYROXD1"
"765","TARBP1"
"766","SVIP"
"767","CHML"
"768","SS18L1"
"769","ITPR2"
"770","P4HA2"
"771","EIF3CL"
"772","LOXL4"
"773","AP3M1"
"774","CUL7"
"775","FBXO24"
"776","SESN2"
"777","NCALD"
"778","RHBDF1"
"779","GALNT7"
"780","SPA17"
"781","RALGAPA1"
"782","EFCAB7"
"783","KRIT1"
"784","TMEM9"
"785","RNF141"
"786","REV1"
"787","UBE2T"
"788","ACVR1C"
"789","AKR1C2"
"790","WASHC4"
"791","DENND1B"
"792","VPS8"
"793","GPBP1"
"794","GPD2"
"795","ACAD10"
"796","PGBD1"
"797","FEZ2"
"798","ARL5B"
"799","APEX2"
"800","SESN3"
"801","HELLS"
"802","EXOC6"
"803","CLK1"
"804","DOCK9"
"805","CCDC127"
"806","NRIP3"
"807","APLF"
"808","MAP4K5"
"809","SEC63"
"810","DNA2"
"811","MED4"
"812","EMP2"
"813","SMIM20"
"814","AIMP1"
"815","MIS18BP1"
"816","CP"
"817","KIAA0513"
"818","CENPM"
"819","PHOSPHO1"
"820","FAM214B"
"821","SERINC2"
"822","OAZ2"
"823","ZFYVE19"
"824","SDCCAG8"
"825","ZNF708"
"826","KCTD9"
"827","TINAGL1"
"828","SAMD9"
"829","DCTN3"
"830","CSPP1"
"831","CCDC102A"
"832","DCAF17"
"833","MYLIP"
"834","WWP1"
"835","HBZ"
"836","NSMCE2"
"837","ABHD10"
"838","TTC14"
"839","DSC2"
"840","HKR1"
"841","SENP6"
"842","FAN1"
"843","NEDD4"
"844","ZNF583"
"845","AP1G2"
"846","LAMB1"
"847","TTC21B"
"848","E2F7"
"849","TRIM52"
"850","CEP78"
"851","NAV2"
"852","DIS3"
"853","DPY19L2"
"854","CDCA3"
"855","AKAP17A"
"856","ATP8B4"
"857","HES2"
"858","INHA"
"859","SH3BP5"
"860","DPF3"
"861","EPB41L5"
"862","AL358113.1"
"863","GNPTG"
"864","ITM2B"
"865","GSN"
"866","CPEB3"
"867","PBK"
"868","STXBP5L"
"869","DNAJB2"
"870","MTMR10"
"871","DSC1"
"872","ZNF565"
"873","SLC25A40"
"874","TECPR2"
"875","SCML2"
"876","RNF168"
"877","C12orf4"
"878","RPP25L"
"879","GLCE"
"880","CENPU"
"881","LMOD1"
"882","ATP11C"
"883","TTC8"
"884","RBP5"
"885","MPHOSPH9"
"886","ZNF529"
"887","UBR1"
"888","ZNF461"
"889","TMEM86A"
"890","ZNF678"
"891","TADA2A"
"892","RABAC1"
"893","KLHDC8A"
"894","MELTF"
"895","FNDC4"
"896","KDELR3"
"897","TRERF1"
"898","MFSD3"
"899","STAM"
"900","L3MBTL1"
"901","ARMC9"
"902","FAM198A"
"903","CORO2A"
"904","IQSEC3"
"905","DDIAS"
"906","ATG4A"
"907","ALDH3A2"
"908","UGT2B28"
"909","SEC14L2"
"910","UBTD2"
"911","COMMD7"
"912","VPS13C"
"913","POLR2K"
"914","MELK"
"915","FEZ1"
"916","THRB"
"917","SYNM"
"918","TMEM62"
"919","CCDC73"
"920","WDR11"
"921","KPNA5"
"922","WDR31"
"923","KIAA1586"
"924","TMPRSS9"
"925","C11orf95"
"926","CCDC117"
"927","C20orf196"
"928","SNX8"
"929","FAM234A"
"930","AOX1"
"931","AL035406.1"
"932","ARL6IP5"
"933","ENOX2"
"934","PITPNB"
"935","PHTF2"
"936","KIF20B"
"937","KLRF1"
"938","FNBP1L"
"939","DDHD1"
"940","RDM1"
"941","SMC5"
"942","PLEKHH2"
"943","NLRC5"
"944","STAU2"
"945","EHD3"
"946","GATS"
"947","UBE3B"
"948","FHDC1"
"949","CREBRF"
"950","B4GALT6"
"951","CCDC126"
"952","METTL23"
"953","TCAF1"
"954","NIPSNAP2"
"955","ADCK1"
"956","HEXA"
"957","ARMCX1"
"958","KIAA1683"
"959","MRPS6"
"960","AKR1C3"
"961","MAP2K4"
"962","PTH2R"
"963","CEP55"
"964","UGGT2"
"965","FSD1L"
"966","TPCN2"
"967","HFE2"
"968","CGREF1"
"969","GATA6"
"970","SPAG4"
"971","SHOX2"
"972","VIP"
"973","SPAG6"
"974","GLMN"
"975","KIAA0895L"
"976","TMCO6"
"977","MIER3"
"978","TMEM131L"
"979","TSPAN5"
"980","YAE1D1"
"981","POLD3"
"982","MED21"
"983","JKAMP"
"984","RAB32"
"985","NSRP1"
"986","GPR161"
"987","NT5C3A"
"988","ADAMTS13"
"989","MZT1"
"990","MMP23B"
"991","PCOLCE"
"992","FBXO4"
"993","NFU1"
"994","PLLP"
"995","BCKDHB"
"996","MT-CO2"
"997","ABLIM1"
"998","PALB2"
"999","RABL2A"
"1000","MYH7B"
"1001","ZMYM6"
"1002","DACT3"
"1003","PPA2"
"1004","DUSP19"
"1005","YIPF5"
"1006","RBM43"
"1007","ZNF726"
"1008","RAP2A"
"1009","CDK17"
"1010","ACOX1"
"1011","MCF2"
"1012","NMI"
"1013","C1orf112"
"1014","CALCOCO1"
"1015","SLC25A24"
"1016","GGPS1"
"1017","HID1"
"1018","CCDC91"
"1019","UPF3B"
"1020","MTMR3"
"1021","RTTN"
"1022","LAMC1"
"1023","LGR6"
"1024","SEC24D"
"1025","GALNT12"
"1026","ANKRD9"
"1027","MTBP"
"1028","MERTK"
"1029","CA5B"
"1030","HYKK"
"1031","RHOV"
"1032","DZIP3"
"1033","P4HA3"
"1034","LRRC57"
"1035","DTX3L"
"1036","RNF17"
"1037","ZNF33B"
"1038","SORBS1"
"1039","PPM1K"
"1040","NXF2"
"1041","Z82206.1"
"1042","TMEM245"
"1043","FLVCR1"
"1044","CPM"
"1045","ZNF507"
"1046","ATP8B1"
"1047","MAD1L1"
"1048","RTKN2"
"1049","SMAP1"
"1050","SMIM24"
"1051","MRE11"
"1052","ZBTB26"
"1053","GPR89C"
"1054","ACAA2"
"1055","CCDC82"
"1056","C19orf73"
"1057","SCG2"
"1058","PDK2"
"1059","CD163L1"
"1060","TJP3"
"1061","PLCB1"
"1062","CAVIN4"
"1063","ZNF304"
"1064","SNX13"
"1065","VN1R1"
"1066","ESCO2"
"1067","GXYLT1"
"1068","TEX9"
"1069","IQCB1"
"1070","ALG1L2"
"1071","ZNF600"
"1072","GALC"
"1073","ZNF404"
"1074","CYLD"
"1075","HDHD2"
"1076","WDR60"
"1077","OXR1"
"1078","BRCC3"
"1079","AASDH"
"1080","FOCAD"
"1081","MT-ATP6"
"1082","TWSG1"
"1083","ZDHHC4"
"1084","ZNF135"
"1085","CITED4"
"1086","AL138752.2"
"1087","DCUN1D1"
"1088","FP565260.6"
"1089","TTBK2"
"1090","OSM"
"1091","MED31"
"1092","RTL8C"
"1093","MITD1"
"1094","TEX45"
"1095","FAM184A"
"1096","CUL9"
"1097","TRIM5"
"1098","AP3S2"
"1099","ALDH1A1"
"1100","C11orf16"
"1101","RNF208"
"1102","ZNF215"
"1103","ZGRF1"
"1104","ZNF528"
"1105","KLHL22"
"1106","TMEM175"
"1107","PARVB"
"1108","GPCPD1"
"1109","ZNF616"
"1110","MTA3"
"1111","NSUN3"
"1112","CMSS1"
"1113","ABHD17C"
"1114","GTPBP6"
"1115","TMEM14A"
"1116","RNF19A"
"1117","KLK1"
"1118","ATXN3L"
"1119","GNG14"
"1120","HPX"
"1121","POLR2J2"
"1122","P4HA1"
"1123","TXNDC16"
"1124","CYGB"
"1125","OSTM1"
"1126","DSP"
"1127","ARMCX6"
"1128","TRIM22"
"1129","ANGPTL4"
"1130","ABHD3"
"1131","ZNF268"
"1132","ATP9B"
"1133","SLC15A2"
"1134","GYG2"
"1135","CD80"
"1136","RGS3"
"1137","DYRK3"
"1138","PRCP"
"1139","SLC3A1"
"1140","ZNF185"
"1141","STRADB"
"1142","SLC30A6"
"1143","PEX19"
"1144","ADPRHL1"
"1145","ARFGAP3"
"1146","LTBP3"
"1147","UFM1"
"1148","INSR"
"1149","CASD1"
"1150","RASGRP1"
"1151","DAND5"
"1152","AC018867.2"
"1153","SDHAF4"
"1154","SMC3"
"1155","COBL"
"1156","FAM173B"
"1157","WDFY3"
"1158","DNAH10OS"
"1159","CDRT4"
"1160","PPARA"
"1161","GSTM3"
"1162","STOML1"
"1163","PLA2G16"
"1164","DNAJB4"
"1165","RNF215"
"1166","ZCCHC24"
"1167","ICE2"
"1168","ST7L"
"1169","PCMTD2"
"1170","BLOC1S5"
"1171","CCDC25"
"1172","AC090186.1"
"1173","AL162424.1"
"1174","PHF21A"
"1175","SLC9A3"
"1176","TRIM58"
"1177","SMIM19"
"1178","ZNF493"
"1179","ACMSD"
"1180","TMTC4"
"1181","FXYD1"
"1182","PLS1"
"1183","DYM"
"1184","GOLGA8N"
"1185","PIMREG"
"1186","CNTNAP1"
"1187","OR13A1"
"1188","RAB11FIP2"
"1189","IFT122"
"1190","EXO5"
"1191","COL4A5"
"1192","NUPR1"
"1193","SUCO"
"1194","B3GAT2"
"1195","KRBA2"
"1196","NPTX1"
"1197","PAX6"
"1198","ACOT9"
"1199","FBXW4"
"1200","OGG1"
"1201","CSPG4"
"1202","ACKR1"
"1203","ITGB3"
"1204","EVI5L"
"1205","LINC01125"
"1206","SIAE"
"1207","ZNF510"
"1208","RAB4B"
"1209","SLC16A7"
"1210","SLC44A5"
"1211","CXADR"
"1212","ASGR1"
"1213","RNF146"
"1214","VAMP4"
"1215","RIBC1"
"1216","CAPN5"
"1217","PTPRN"
"1218","C2orf82"
"1219","CCDC43"
"1220","PAQR9"
"1221","ZNF780B"
"1222","ZNF713"
"1223","AC114494.1"
"1224","CMYA5"
"1225","DYNLT3"
"1226","VAMP2"
"1227","KDM7A"
"1228","ARHGAP23"
"1229","LOXL3"
"1230","IL7"
"1231","CENPC"
"1232","AGAP9"
"1233","F8"
"1234","BMP1"
"1235","C10orf88"
"1236","C16orf52"
"1237","PGBD2"
"1238","KIFAP3"
"1239","CTAGE5"
"1240","CDK19"
"1241","NELFE"
"1242","TBX6"
"1243","CBY1"
"1244","YEATS4"
"1245","ING3"
"1246","PAGE2B"
"1247","ZNF30"
"1248","DDIT3"
"1249","CTSW"
"1250","ALDH3B1"
"1251","PHLDA1"
"1252","ICA1"
"1253","PPP2R3C"
"1254","CR1"
"1255","OAS3"
"1256","AMPD3"
"1257","ST3GAL3"
"1258","RNF212B"
"1259","PKDCC"
"1260","GUCA1B"
"1261","DENND4C"
"1262","CEP19"
"1263","TUSC3"
"1264","TAL2"
"1265","RINL"
"1266","IFT74"
"1267","ASB8"
"1268","SGK1"
"1269","MSANTD1"
"1270","C20orf96"
"1271","SCPEP1"
"1272","ASS1"
"1273","PRRG2"
"1274","FERMT2"
"1275","AC012651.1"
"1276","RASGRP3"
"1277","PALM3"
"1278","TGM1"
"1279","TCF19"
"1280","AKAP6"
"1281","RRAGC"
"1282","CPEB2"
"1283","LRRC2"
"1284","ARHGAP12"
"1285","TMEM253"
"1286","ZCCHC4"
"1287","FNIP2"
"1288","KNDC1"
"1289","ARHGEF39"
"1290","NAPSA"
"1291","RHBDD2"
"1292","TMEM79"
"1293","NPIPA7"
"1294","AL365205.1"
"1295","SLC23A2"
"1296","GBA"
"1297","FAM228B"
"1298","CHMP4A"
"1299","DPF1"
"1300","RNF2"
"1301","IGSF1"
"1302","NREP"
"1303","CYB5D2"
"1304","HBP1"
"1305","GDPD5"
"1306","RGS9"
"1307","KCNN3"
"1308","USP6"
"1309","SCN4A"
"1310","CCDC150"
"1311","MT-ND4"
"1312","ART4"
"1313","CRTC1"
"1314","NEK5"
"1315","GALR3"
"1316","CYP20A1"
"1317","NEK1"
"1318","C20orf204"
"1319","KATNBL1"
"1320","ZNF43"
"1321","SCAPER"
"1322","ABI2"
"1323","FAM181B"
"1324","GRPR"
"1325","PIWIL3"
"1326","PLPP4"
"1327","SETD9"
"1328","PIGF"
"1329","AP000758.1"
"1330","ZNF419"
"1331","ABAT"
"1332","RECK"
"1333","AK9"
"1334","ABCC9"
"1335","S100A10"
"1336","TRAK2"
"1337","ZNF474"
"1338","CHRM5"
"1339","MED12L"
"1340","YPEL4"
"1341","RAPGEF2"
"1342","ZNF845"
"1343","TCEANC2"
"1344","AFF2"
"1345","ATP9A"
"1346","PDP1"
"1347","PIP5KL1"
"1348","LIPG"
"1349","EML5"
"1350","CACNA2D2"
"1351","PCNX1"
"1352","TMEM106B"
"1353","SPOPL"
"1354","AGPAT1"
"1355","NUDT14"
"1356","NLGN2"
"1357","NDRG1"
"1358","AC020915.2"
"1359","IGIP"
"1360","NUDT12"
"1361","ZNF347"
"1362","LTF"
"1363","TREML2"
"1364","BCAR3"
"1365","NPC2"
"1366","ABCF1"
"1367","GPR85"
"1368","EVI5"
"1369","FHOD3"
"1370","FBXO10"
