"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"AIFM1",806.965127183617,-0.0737200355140612,0.111113820584563,-0.663464140880264,0.507033338305226,0.799086903584125,"NOT"
"SMURF1",385.442668908272,0.101016378402346,0.152481041382192,0.662484840650778,0.507660546981522,0.799136725633994,"NOT"
"SGPL1",124.026218254275,-0.187838764558329,0.283190940770563,-0.66329369169515,0.507142475970683,0.799136725633994,"NOT"
"SERTAD2",374.087120941756,0.103123431047359,0.15571575476752,0.662254318461994,0.507808247845292,0.799136725633994,"NOT"
"PSMG4",712.184942331137,-0.0746334219896142,0.112645190151865,-0.662553118237853,0.507616804291798,0.799136725633994,"NOT"
"P3H4",25.1420333977681,-0.409943185170241,0.6185703955939,-0.662726810222865,0.507505535778928,0.799136725633994,"NOT"
"MID1IP1",1539.30695372786,-0.0549302008018056,0.0828617501231658,-0.662913838051421,0.507385738535326,0.799136725633994,"NOT"
"MAPKAPK3",878.85114994575,-0.0683036156538236,0.103035478499807,-0.662913558012461,0.507385917898041,0.799136725633994,"NOT"
"KDM4C",279.031545597277,0.120833395275916,0.182398892539814,0.662467812130713,0.507671456774182,0.799136725633994,"NOT"
"ICAM3",259.137632752017,-0.131733121773078,0.19894848420761,-0.662146898468501,0.507877082006305,0.799136725633994,"NOT"
"GLT8D1",278.538120487941,0.120279724438178,0.181433294731449,0.66294185207964,0.507367795942461,0.799136725633994,"NOT"
"CPNE8",94.1215560795064,0.225723159124892,0.340820150303199,0.662294054280783,0.507782786584414,0.799136725633994,"NOT"
"IQSEC1",1116.18597197505,-0.0624859942890099,0.0943875189703281,-0.662015433509309,0.507961330716332,0.79915311681302,"NOT"
"STXBP3",316.527190975539,0.136190625148098,0.205775275632796,0.661841539170764,0.508072781361776,0.79921229261152,"NOT"
"ZGLP1",18.8720825142954,-0.458245556967957,0.693303639341684,-0.660959399265633,0.508638351323681,0.799637111797752,"NOT"
"TTC7A",369.496975947324,-0.108059642130753,0.163426891452635,-0.661210900912665,0.508477071418593,0.799637111797752,"NOT"
"ERCC6L",398.645827647184,-0.101562114234962,0.153636943774552,-0.661052685244735,0.508578526901684,0.799637111797752,"NOT"
"AJUBA",37.8930090539153,0.313015753892472,0.473518742331795,0.661041952322852,0.508585409750909,0.799637111797752,"NOT"
"HYI",152.709530522104,0.158581947170243,0.239980274215423,0.660812425890841,0.508732613027647,0.799669155302244,"NOT"
"CA13",55.78668767826,0.255815984069799,0.387223871404445,0.660641047624376,0.5088425384255,0.799725807451374,"NOT"
"USP31",157.31470769104,0.15494292976093,0.235036801835073,0.659228378497315,0.509749126223639,0.800922799693862,"NOT"
"PTER",262.738400796127,-0.127345200579491,0.193174492465187,-0.659223684009112,0.509752140344698,0.800922799693862,"NOT"
"TRIM7",162.607476036968,0.14925068523963,0.226525889900036,0.658868111302833,0.509980464794638,0.801165246870416,"NOT"
"ZNF213",191.705139736199,-0.137885336776746,0.209444281230329,-0.658338991004061,0.5103203286581,0.801267191183922,"NOT"
"USF3",120.384594752615,-0.172533353193468,0.262557896843832,-0.657124981832446,0.511100556869802,0.801267191183922,"NOT"
"SLC25A39",2510.83121095915,0.0473665492319851,0.0719165406094802,0.658632198247605,0.510131981531007,0.801267191183922,"NOT"
"SESN1",193.51416101716,0.136876878919026,0.207998080731016,0.658067990040908,0.510494443501859,0.801267191183922,"NOT"
"SEC31A",1393.26880865358,0.0556011232287188,0.0845894708071002,0.657305486110829,0.510984509647725,0.801267191183922,"NOT"
"RPL7",7974.8428938457,0.0327449195546777,0.0498895325479747,0.656348494009031,0.511599922235041,0.801267191183922,"NOT"
"PFKL",2141.36591914438,-0.0506334231983846,0.0771219200917359,-0.656537377935567,0.511478426074294,0.801267191183922,"NOT"
"PEF1",804.607406234591,0.0712970282172632,0.108576261263034,0.656653925893993,0.511403466229262,0.801267191183922,"NOT"
"N4BP3",188.011063228098,-0.148738301228186,0.226388435149751,-0.657004855967128,0.511177794097428,0.801267191183922,"NOT"
"MRPS18A",767.819192385054,-0.0725285753079876,0.110489718024189,-0.656428277716385,0.511548600974298,0.801267191183922,"NOT"
"LRRC8E",55.8449868390433,0.265474662516598,0.404244080988967,0.656718737518987,0.511361783988235,0.801267191183922,"NOT"
