"","x"
"489","RHOT2"
"490","PTGFRN"
"491","USP36"
"492","ETV6"
"493","RRP7A"
"494","COLGALT2"
"495","CTDSPL"
"496","PHRF1"
"497","FN3KRP"
"498","CCND2"
"499","THOP1"
"500","TEAD3"
"501","RELL2"
"502","CDK5R1"
"503","CENPB"
"504","CHCHD6"
"505","NOB1"
"506","NTMT1"
"507","C1orf159"
"508","BATF3"
"509","CECR2"
"510","TFB2M"
"511","RASGRP2"
"512","GRIN2D"
"513","DCHS2"
"514","SYNGR3"
"515","EHD4"
"516","ZC3H18"
"517","NFATC3"
"518","UBALD1"
"519","AXIN1"
"520","PRKCD"
"521","SLC38A1"
"522","S100P"
"523","DVL1"
"524","CCDC57"
"525","NCOR2"
"526","IGDCC4"
"527","AURKAIP1"
"528","DDX51"
"529","EBNA1BP2"
"530","MARCKS"
"531","EGR1"
"532","DUS2"
"533","TIMM13"
"534","SNAPC4"
"535","RPUSD1"
"536","ERVW-1"
"537","ALAS1"
"538","BCL2L1"
"539","LAS1L"
"540","NES"
"541","TOMM70"
"542","PRSS57"
"543","CFAP161"
"544","CCAR2"
"545","MBOAT7"
"546","ITPR1"
"547","RAB11FIP5"
"548","ZBTB48"
"549","BMX"
"550","DNAJC1"
"551","CHRNB1"
"552","RELA"
"553","PLEKHO2"
"554","PHF13"
"555","CABLES1"
"556","ARAP3"
"557","SLC19A2"
"558","BEND3"
"559","MMP17"
"560","GJD3"
"561","ZNF777"
"562","APOBR"
"563","MDC1"
"564","MTSS1L"
"565","AIP"
"566","TRIM41"
"567","SRM"
"568","LYL1"
"569","PCDH10"
"570","HSPA6"
"571","TRIM8"
"572","TNFRSF12A"
"573","BAIAP2"
"574","C19orf70"
"575","CD99"
"576","CCDC78"
"577","MAP3K3"
"578","RALGAPA2"
"579","INTS10"
"580","LPL"
"581","ZADH2"
"582","SLC35F6"
"583","NRIP1"
"584","ERCC6"
"585","TBL1X"
"586","EVA1B"
"587","SLC17A7"
"588","TMEM109"
"589","CCNO"
"590","HIST1H2AC"
"591","DNASE1"
"592","MKL1"
"593","DHRS11"
"594","IKZF3"
"595","IL1RAP"
"596","METTL13"
"597","BCR"
"598","PWWP2B"
"599","CSTF2"
"600","RENBP"
"601","DDN"
"602","DCTPP1"
"603","GHDC"
"604","RPIA"
"605","LGALS1"
"606","SOSTDC1"
"607","NUDT22"
"608","SAMD11"
"609","JADE2"
"610","STC2"
"611","DUSP7"
"612","EREG"
"613","ANKLE1"
"614","TIMM50"
"615","PEX12"
"616","C12orf45"
"617","SLC9A5"
"618","PIM3"
"619","CBX6"
"620","KANK1"
"621","RUSC2"
"622","SAFB2"
"623","RARA"
"624","RRBP1"
"625","CBX2"
"626","NFKBIB"
"627","CDK10"
"628","SEMA4D"
"629","NLE1"
"630","CFAP57"
"631","FMNL3"
"632","MEGF8"
"633","PFAS"
"634","MRPL2"
"635","NFKBIE"
"636","PRUNE1"
"637","DTX2"
"638","POP7"
"639","HSD11B1L"
"640","NMU"
"641","ADO"
"642","GORASP1"
"643","CDC42BPB"
"644","PPP6R1"
"645","TNFRSF1B"
"646","ID1"
"647","TBP"
"648","CTDSP1"
"649","SIX5"
"650","PRKD2"
"651","CD3D"
"652","DOT1L"
"653","GGA1"
"654","ZFYVE28"
"655","CATSPERB"
"656","RAI1"
"657","PHACTR4"
"658","AVPR2"
"659","TGFBR1"
"660","KDM2B"
"661","C19orf44"
"662","HIC1"
"663","E4F1"
"664","MPV17L2"
"665","DPP9"
"666","MDM1"
"667","FCHO1"
"668","APEH"
"669","SLC52A2"
"670","ISG20L2"
"671","ARPC4"
"672","RASSF3"
"673","ECE1"
"674","AGAP3"
"675","TEX19"
"676","NOC4L"
"677","DCAF4L1"
"678","TBL3"
"679","PUSL1"
"680","C19orf24"
"681","PCSK1N"
"682","LDLRAD2"
"683","MXD1"
"684","GLS"
"685","CTSS"
"686","ACSL4"
"687","METRNL"
"688","CBARP"
"689","BAMBI"
"690","ATF5"
"691","SURF6"
"692","RHOH"
"693","ZFP92"
"694","MRPL10"
"695","FASTKD5"
"696","IGSF8"
"697","CHRM4"
"698","PDCD1"
"699","NECTIN2"
"700","UHRF1"
"701","KLF13"
"702","ARHGEF1"
"703","BOP1"
"704","ZNF646"
"705","FAM83H"
"706","RUBCN"
"707","ZNF398"
"708","SLC10A4"
"709","RNF166"
"710","C8orf22"
"711","ZBTB17"
"712","ZDHHC8"
"713","RHOC"
"714","PLCL1"
"715","DGKZ"
"716","PLEKHA1"
"717","NAGPA"
"718","NAT10"
"719","SLC25A15"
"720","CD3G"
"721","PKM"
"722","ECM1"
"723","FAM19A2"
"724","FAM129A"
"725","MRI1"
"726","CD96"
"727","MAFF"
"728","AC008687.4"
"729","SCO1"
"730","SSX2"
"731","CKMT1A"
"732","EIF3G"
"733","C9orf135"
"734","MED25"
"735","DIP2B"
"736","NTRK1"
"737","CEP170B"
"738","BCL9L"
"739","LHFPL2"
"740","SLC9A3R2"
"741","C8orf82"
"742","LPCAT4"
"743","ARL10"
"744","ADAM15"
"745","HDGFL2"
"746","NUFIP1"
"747","CDAN1"
"748","PODXL2"
"749","TC2N"
"750","VAV1"
"751","GAD1"
"752","PIH1D1"
"753","MRPS24"
"754","GAGE2D"
"755","TMEM185B"
"756","DBNDD1"
"757","GALE"
"758","BTN3A2"
"759","MRAP"
"760","PLCD3"
"761","BATF2"
"762","QPCTL"
"763","NDUFAF8"
