"","x"
"425","FAM114A1"
"426","ATP8B2"
"427","ITGB3BP"
"428","ERV3-1"
"429","RHOT1"
"430","RIMS3"
"431","CST3"
"432","GAB1"
"433","KCTD7"
"434","SORCS1"
"435","RNASE1"
"436","ABCC4"
"437","RALA"
"438","PEAR1"
"439","RAB6A"
"440","TRAPPC13"
"441","ZNF300"
"442","VWA5A"
"443","KIAA0232"
"444","ENTPD4"
"445","SCN9A"
"446","MARCH2"
"447","CEP57L1"
"448","ANKRD33B"
"449","RCBTB1"
"450","GOLGA1"
"451","NOD1"
"452","HBZ"
"453","ASNS"
"454","TKFC"
"455","NT5DC4"
"456","FAM50A"
"457","AKR1A1"
"458","RBM20"
"459","AP3M1"
"460","ZNF273"
"461","SLC36A1"
"462","SLC30A9"
"463","FTCD"
"464","MCF2L2"
"465","SLC22A23"
"466","HTATIP2"
"467","CEP68"
"468","TBC1D5"
"469","CCDC92"
"470","TENM1"
"471","SRPX2"
"472","MUC4"
"473","FN3K"
"474","STAG2"
"475","ANXA4"
"476","C2orf88"
"477","CCDC34"
"478","PSME1"
"479","NT5M"
"480","TIA1"
"481","CDC16"
"482","HPS1"
"483","ARHGAP5"
"484","ATP1B2"
"485","PHF3"
"486","PNPLA8"
"487","ACHE"
"488","NENF"
"489","RNF217"
"490","GOLGA4"
"491","SLC48A1"
"492","VAMP7"
"493","PARP14"
"494","PHF20L1"
"495","TDRKH"
"496","ZNF76"
"497","SPPL2A"
"498","FIGNL1"
"499","GGNBP2"
"500","TMEM74B"
"501","FRRS1"
"502","BRPF3"
"503","KIF13A"
"504","LIN7C"
"505","PXMP4"
"506","FAM213A"
"507","USO1"
"508","TUBA1A"
"509","ERAP1"
"510","ATP2B1"
"511","GCAT"
"512","NAGK"
"513","CEP152"
"514","CACFD1"
"515","VPS54"
"516","RECQL"
"517","DHTKD1"
"518","AAMDC"
"519","IQGAP3"
"520","MTURN"
"521","TMC5"
"522","CTSD"
"523","ARRDC4"
"524","ENO2"
"525","ZNF226"
"526","NEK2"
"527","DHRS13"
"528","SMARCAL1"
"529","CEPT1"
"530","RABGAP1L"
"531","KIF11"
"532","RB1CC1"
"533","EXOSC9"
"534","B3GLCT"
"535","JAK2"
"536","MAD2L1"
"537","CASS4"
"538","ZNF219"
"539","LRRCC1"
"540","CDKN1B"
"541","CAV2"
"542","E2F1"
"543","WDHD1"
"544","SPC25"
"545","TMEM219"
"546","RPS6KC1"
"547","N4BP2L2"
"548","KYNU"
"549","ZNF260"
"550","NRBP2"
"551","PYROXD1"
"552","AKR1C2"
"553","TSPAN33"
"554","HIF1A"
"555","HMGCL"
"556","TMEM87B"
"557","CFH"
"558","PCSK6"
"559","ASRGL1"
"560","PDCD4"
"561","GRN"
"562","ATP6AP2"
"563","RIT1"
"564","TINAGL1"
"565","C7orf73"
"566","AKR1C1"
"567","ACVR1"
"568","SNX2"
"569","IFT52"
"570","KLF6"
"571","AGTPBP1"
"572","CBLB"
"573","SEC22C"
"574","CDC7"
"575","MT-ATP6"
"576","TMEM9"
"577","MORC3"
"578","NFATC4"
"579","GFPT1"
"580","SENP6"
"581","XRN1"
"582","SLC22A4"
"583","SPATA9"
"584","ATXN10"
"585","ATP2C1"
"586","BBIP1"
"587","STAG3"
"588","CHFR"
"589","NAPEPLD"
"590","PBX2"
"591","RBP5"
"592","POLQ"
"593","SERINC2"
"594","C2CD5"
"595","DCLRE1A"
"596","SELENOP"
"597","SCRN3"
"598","DENND1B"
"599","USP6NL"
"600","HS3ST3A1"
"601","CENPH"
"602","TPGS1"
"603","CCZ1B"
"604","AQP1"
"605","KATNAL1"
"606","MED21"
"607","SFXN5"
"608","GATA5"
"609","KIAA1524"
"610","PSRC1"
"611","ERG28"
"612","SNAPIN"
"613","REXO5"
"614","MGAT5"
"615","KLF9"
"616","RMI2"
"617","SEC63"
"618","NEK7"
"619","CCDC32"
"620","CYB5R1"
"621","TAF9B"
"622","YTHDC2"
"623","PGBD1"
"624","HMGB3"
"625","TP73"
"626","MFN1"
"627","ARL2BP"
"628","APPL1"
"629","TMEM126A"
"630","ZNF431"
"631","GTPBP6"
"632","SERINC1"
"633","ADCK5"
"634","TCEANC"
"635","DENND4A"
"636","GPATCH11"
"637","PTGDR2"
"638","SUCLA2"
"639","GSN"
"640","WBP5"
"641","MYRF"
"642","PROCR"
"643","COA1"
"644","SPARC"
"645","DOPEY1"
"646","CAMK2A"
"647","OFD1"
"648","PHTF1"
"649","KIAA1586"
"650","ATP6V0E2"
"651","ZDHHC13"
"652","SPA17"
"653","NEB"
"654","SCAI"
"655","R3HDM2"
"656","DCAF17"
"657","COMMD2"
"658","GIPC1"
"659","BICD1"
"660","CENPK"
"661","RRAGA"
"662","DOCK9"
"663","ACOT8"
"664","CENPI"
"665","SVBP"
"666","AP5M1"
"667","CABLES2"
"668","DMBX1"
"669","YAE1D1"
"670","PEX1"
"671","ZNF708"
"672","YPEL2"
"673","GNAL"
"674","SMIM10"
"675","ENG"
"676","DMC1"
"677","TMEM205"
"678","DAPP1"
"679","LANCL1"
"680","TCN2"
"681","NCALD"
"682","PQLC2"
"683","IPP"
"684","PRPF39"
"685","DNAJB2"
"686","ZNF678"
"687","TTC14"
"688","SDCCAG8"
"689","PKN2"
"690","ORC3"
"691","C12orf4"
"692","STXBP6"
"693","ZUFSP"
"694","PLCB1"
"695","ARHGAP24"
"696","KIF15"
"697","RALGAPA1"
"698","ATP6V1D"
"699","BCAS3"
"700","ASNSD1"
"701","KATNA1"
"702","SLC5A2"
"703","TRA2A"
"704","ICE2"
"705","TARBP1"
"706","TTC8"
"707","KPNA5"
"708","RABAC1"
"709","VANGL2"
"710","RHBDF1"
"711","KIAA0513"
"712","CCDC167"
"713","ATP8B4"
"714","FAM219B"
"715","KDELR3"
"716","CROT"
"717","NSMCE2"
"718","REV1"
"719","MFHAS1"
"720","MIS18BP1"
"721","ARHGAP26"
"722","ACAD10"
"723","SNX13"
"724","SLC25A40"
"725","NOSTRIN"
"726","DNA2"
"727","SVIP"
"728","NRIP3"
"729","GPCPD1"
"730","MELTF"
"731","P4HA2"
"732","LCORL"
"733","L3MBTL1"
"734","RBM43"
"735","MED4"
"736","AL358113.1"
"737","UGGT2"
"738","DERL2"
"739","METTL23"
"740","SCMH1"
"741","CUL7"
"742","MPHOSPH9"
"743","HSD17B12"
"744","RIMKLB"
"745","ABHD10"
"746","GATS"
"747","FAM234A"
"748","TPCN2"
"749","APEX2"
"750","HELLS"
"751","CLK1"
"752","DYNLRB1"
"753","PIAS1"
"754","ITPR2"
"755","PCOLCE"
